my,site_no,q_mmd,pairname,paircode,site_id,max_swe
1980,6614800,0.15469155,joewright,1,551,731.5
1981,6614800,0.289848303,joewright,1,551,408.9
1982,6614800,0.297770087,joewright,1,551,698.5
1983,6614800,0.22014008,joewright,1,551,985.5
1984,6614800,0.390752755,joewright,1,551,950
1985,6614800,0.456164407,joewright,1,551,604.5
1986,6614800,0.247373413,joewright,1,551,924.6
1987,6614800,0.318517732,joewright,1,551,490.2
1988,6614800,0.204341792,joewright,1,551,701
1989,6614800,0.242781113,joewright,1,551,528.3
1990,6614800,0.215802955,joewright,1,551,779.8
1991,6614800,0.194620967,joewright,1,551,655.3
1992,6614800,0.252149977,joewright,1,551,579.1
1993,6614800,0.317606346,joewright,1,551,830.6
1994,6614800,0.199165849,joewright,1,551,558.8
1995,6614800,0.464605155,joewright,1,551,853.4
1996,6614800,0.27911259,joewright,1,551,889
1997,6614800,0.316669565,joewright,1,551,914.4
1998,6614800,0.292088258,joewright,1,551,609.6
1999,6614800,0.216297308,joewright,1,551,614.7
2000,6614800,0.255288497,joewright,1,551,647.7
2001,6614800,0.187235122,joewright,1,551,551.2
2002,6614800,0.258054999,joewright,1,551,365.8
2003,6614800,0.209711916,joewright,1,551,848.4
2004,6614800,0.330486424,joewright,1,551,447
2005,6614800,0.284581162,joewright,1,551,596.9
2006,6614800,0.298830287,joewright,1,551,581.7
2007,6614800,0.292226913,joewright,1,551,607.1
2008,6614800,0.253372372,joewright,1,551,751.8
2009,6614800,0.210048907,joewright,1,551,701
2010,6614800,0.301469903,joewright,1,551,657.9
2011,6614800,0.284577368,joewright,1,551,1338.6
2012,6614800,0.188694725,joewright,1,551,345.4
2013,6614800,0.388611903,joewright,1,551,599.4
2014,6614800,0.345381886,joewright,1,551,828
2015,6614800,0.265571466,joewright,1,551,502.9
2016,6614800,0.250503283,joewright,1,551,558.8
2017,6614800,0.213089416,joewright,1,551,495.3
2018,6614800,0.2432734,joewright,1,551,599.4
2019,6614800,0.220866731,joewright,1,551,594.4
2020,6614800,0.192482853,joewright,1,551,642.6
2021,6614800,0.308726641,joewright,1,551,584.2
1980,7083000,0.221369767,malta,13,369,NA
1981,7083000,0.226825053,malta,13,369,213.4
1982,7083000,0.222112691,malta,13,369,350.5
1983,7083000,0.203066363,malta,13,369,292.1
1984,7083000,0.309034476,malta,13,369,533.4
1985,7083000,0.336816063,malta,13,369,279.4
1986,7083000,0.261949439,malta,13,369,274.3
1987,7083000,0.231039905,malta,13,369,236.2
1988,7083000,0.198092365,malta,13,369,236.2
1989,7083000,0.242624033,malta,13,369,279.4
1990,7083000,0.188981786,malta,13,369,261.6
1991,7083000,0.169325744,malta,13,369,292.1
1992,7083000,0.181689739,malta,13,369,226.1
1993,7083000,0.217062963,malta,13,369,457.2
1994,7083000,0.165231679,malta,13,369,289.6
1995,7083000,0.332364439,malta,13,369,485.1
1996,7083000,0.282170528,malta,13,369,426.7
1997,7083000,0.268182863,malta,13,369,368.3
1998,7083000,0.212449768,malta,13,369,312.4
1999,7083000,0.28854225,malta,13,369,276.9
2000,7083000,0.217565423,malta,13,369,248.9
2001,7083000,0.246266246,malta,13,369,284.5
2002,7083000,0.165632729,malta,13,369,167.6
2003,7083000,0.215897837,malta,13,369,266.7
2004,7083000,0.183583222,malta,13,369,147.3
2005,7083000,0.231236266,malta,13,369,241.3
2006,7083000,0.283659149,malta,13,369,350.5
2007,7083000,0.396307177,malta,13,369,281.9
2008,7083000,0.215324874,malta,13,369,452.1
2009,7083000,0.298243956,malta,13,369,317.5
2010,7083000,0.250254468,malta,13,369,304.8
2011,7083000,0.232086871,malta,13,369,439.4
2012,7083000,0.180123163,malta,13,369,162.6
2013,7083000,0.228657313,malta,13,369,279.4
2014,7083000,0.328295076,malta,13,369,386.1
2015,7083000,0.234028234,malta,13,369,289.6
2016,7083000,0.253228638,malta,13,369,327.7
2017,7083000,0.238649524,malta,13,369,365.8
2018,7083000,0.229726282,malta,13,369,246.4
2019,7083000,0.202025294,malta,13,369,401.3
2020,7083000,0.216141443,malta,13,369,363.2
2021,7083000,0.209841019,malta,13,369,271.8
1980,8246500,0.160626776,conejos,11,431,NA
1981,8246500,0.263271228,conejos,11,431,414
1982,8246500,0.374661732,conejos,11,431,899.2
1983,8246500,0.238889144,conejos,11,431,914.4
1984,8246500,0.28887265,conejos,11,431,937.3
1985,8246500,0.430264912,conejos,11,431,1097.3
1986,8246500,0.416902694,conejos,11,431,817.9
1987,8246500,0.22157586,conejos,11,431,739.1
1988,8246500,0.234457145,conejos,11,431,553.7
1989,8246500,0.17262777,conejos,11,431,922
1990,8246500,0.249555412,conejos,11,431,353.1
1991,8246500,0.227714221,conejos,11,431,894.1
1992,8246500,0.254534751,conejos,11,431,703.6
1993,8246500,0.247721032,conejos,11,431,1016
1994,8246500,0.298720525,conejos,11,431,873.8
1995,8246500,0.278609729,conejos,11,431,1054.1
1996,8246500,0.240111015,conejos,11,431,571.5
1997,8246500,0.297855,conejos,11,431,835.7
1998,8246500,0.24359288,conejos,11,431,701
1999,8246500,0.203170859,conejos,11,431,477.5
2000,8246500,0.178852033,conejos,11,431,408.9
2001,8246500,0.166501637,conejos,11,431,729
2002,8246500,0.104772332,conejos,11,431,307.3
2003,8246500,0.194307384,conejos,11,431,662.9
2004,8246500,0.218857465,conejos,11,431,602
2005,8246500,0.298267148,conejos,11,431,927.1
2006,8246500,0.380817866,conejos,11,431,538.5
2007,8246500,0.289683427,conejos,11,431,528.3
2008,8246500,0.257133314,conejos,11,431,1018.5
2009,8246500,0.210869463,conejos,11,431,927.1
2010,8246500,0.191297147,conejos,11,431,856
2011,8246500,0.266442621,conejos,11,431,665.5
2012,8246500,0.159190154,conejos,11,431,449.6
2013,8246500,0.218800942,conejos,11,431,462.3
2014,8246500,0.252699843,conejos,11,431,530.9
2015,8246500,0.248508619,conejos,11,431,510.5
2016,8246500,0.283648542,conejos,11,431,581.7
2017,8246500,0.373991068,conejos,11,431,1125.2
2018,8246500,0.162892282,conejos,11,431,403.9
2019,8246500,0.258107224,conejos,11,431,876.3
2020,8246500,0.197365531,conejos,11,431,563.9
2021,8246500,0.18155575,conejos,11,431,637.5
1980,9032100,NA,fraser,2,838,706.1
1981,9032100,NA,fraser,2,838,248.9
1982,9032100,NA,fraser,2,838,571.5
1983,9032100,NA,fraser,2,838,561.3
1984,9032100,0.070368954,fraser,2,838,696
1985,9032100,0.380638421,fraser,2,838,393.7
1986,9032100,0.385907757,fraser,2,838,591.8
1987,9032100,0.285176773,fraser,2,838,406.4
1988,9032100,0.252542721,fraser,2,838,510.5
1989,9032100,0.236184231,fraser,2,838,449.6
1990,9032100,0.27597321,fraser,2,838,612.1
1991,9032100,0.304082776,fraser,2,838,396.2
1992,9032100,0.28655317,fraser,2,838,360.7
1993,9032100,0.25873572,fraser,2,838,591.8
1994,9032100,0.253416294,fraser,2,838,525.8
1995,9032100,0.295022038,fraser,2,838,632.5
1996,9032100,0.4438057,fraser,2,838,883.9
1997,9032100,0.322002092,fraser,2,838,774.7
1998,9032100,0.316763426,fraser,2,838,492.8
1999,9032100,0.447045158,fraser,2,838,563.9
2000,9032100,0.333487442,fraser,2,838,416.6
2001,9032100,0.353112252,fraser,2,838,408.9
2002,9032100,0.236499054,fraser,2,838,231.1
2003,9032100,0.314922858,fraser,2,838,546.1
2004,9032100,NA,fraser,2,838,429.3
2005,9032100,0.447187032,fraser,2,838,452.1
2006,9032100,0.347388862,fraser,2,838,469.9
2007,9032100,0.371229309,fraser,2,838,586.7
2008,9032100,0.308079317,fraser,2,838,462.3
2009,9032100,0.27318033,fraser,2,838,490.2
2010,9032100,0.329290872,fraser,2,838,447
2011,9032100,0.270501326,fraser,2,838,746.8
2012,9032100,NA,fraser,2,838,317.5
2013,9032100,0.46669948,fraser,2,838,497.8
2014,9032100,0.573121348,fraser,2,838,721.4
2015,9032100,0.316424972,fraser,2,838,553.7
2016,9032100,0.324262514,fraser,2,838,548.6
2017,9032100,0.271564589,fraser,2,838,553.7
2018,9032100,0.255758488,fraser,2,838,469.9
2019,9032100,0.301150563,fraser,2,838,513.1
2020,9032100,0.232106055,fraser,2,838,563.9
2021,9032100,0.318159425,fraser,2,838,508
1980,9034900,0.190224488,jonespass,3,335,688.3
1981,9034900,0.257436497,jonespass,3,335,350.5
1982,9034900,0.230871057,jonespass,3,335,599.4
1983,9034900,0.225651643,jonespass,3,335,828
1984,9034900,0.260772161,jonespass,3,335,848.4
1985,9034900,0.222250386,jonespass,3,335,528.3
1986,9034900,0.226906096,jonespass,3,335,629.9
1987,9034900,0.211112702,jonespass,3,335,444.5
1988,9034900,0.192034481,jonespass,3,335,574
1989,9034900,0.17887596,jonespass,3,335,546.1
1990,9034900,0.188631336,jonespass,3,335,403.9
1991,9034900,0.175135615,jonespass,3,335,604.5
1992,9034900,0.17883704,jonespass,3,335,591.8
1993,9034900,0.215213797,jonespass,3,335,782.3
1994,9034900,0.183450729,jonespass,3,335,513.1
1995,9034900,0.183977131,jonespass,3,335,586.7
1996,9034900,0.202237794,jonespass,3,335,774.7
1997,9034900,0.196074125,jonespass,3,335,797.6
1998,9034900,0.180783396,jonespass,3,335,604.5
1999,9034900,0.20127519,jonespass,3,335,586.7
2000,9034900,0.198082259,jonespass,3,335,490.2
2001,9034900,0.283330769,jonespass,3,335,566.4
2002,9034900,0.218322656,jonespass,3,335,281.9
2003,9034900,0.280450546,jonespass,3,335,660.4
2004,9034900,0.222009567,jonespass,3,335,378.5
2005,9034900,0.307531255,jonespass,3,335,502.9
2006,9034900,0.249627021,jonespass,3,335,609.6
2007,9034900,0.26614212,jonespass,3,335,563.9
2008,9034900,0.17926867,jonespass,3,335,619.8
2009,9034900,0.188936196,jonespass,3,335,627.4
2010,9034900,0.171768011,jonespass,3,335,622.3
2011,9034900,0.264708168,jonespass,3,335,883.9
2012,9034900,0.197500742,jonespass,3,335,330.2
2013,9034900,0.263074998,jonespass,3,335,581.7
2014,9034900,0.325939451,jonespass,3,335,678.2
2015,9034900,0.177474415,jonespass,3,335,492.8
2016,9034900,0.171049607,jonespass,3,335,599.4
2017,9034900,0.228531984,jonespass,3,335,472.4
2018,9034900,0.160533967,jonespass,3,335,469.9
2019,9034900,0.12944025,jonespass,3,335,576.6
2020,9034900,0.129610654,jonespass,3,335,642.6
2021,9034900,0.146399252,jonespass,3,335,497.8
1980,9066300,0.069201396,vail,10,842,797.6
1981,9066300,0.090265044,vail,10,842,398.8
1982,9066300,0.17222358,vail,10,842,802.6
1983,9066300,0.18213105,vail,10,842,947.4
1984,9066300,0.324009094,vail,10,842,993.1
1985,9066300,0.34578497,vail,10,842,706.1
1986,9066300,0.161568513,vail,10,842,647.7
1987,9066300,0.054739028,vail,10,842,452.1
1988,9066300,0.063397708,vail,10,842,558.8
1989,9066300,0.056648225,vail,10,842,541
1990,9066300,0.070690742,vail,10,842,505.5
1991,9066300,0.072383114,vail,10,842,696
1992,9066300,0.078154411,vail,10,842,586.7
1993,9066300,0.101249222,vail,10,842,863.6
1994,9066300,0.064214945,vail,10,842,508
1995,9066300,0.126122671,vail,10,842,795
1996,9066300,0.139441474,vail,10,842,889
1997,9066300,0.098485061,vail,10,842,853.4
1998,9066300,0.059894151,vail,10,842,525.8
1999,9066300,0.076526879,vail,10,842,449.6
2000,9066300,0.081942616,vail,10,842,576.6
2001,9066300,0.083809506,vail,10,842,502.9
2002,9066300,0.053451927,vail,10,842,370.8
2003,9066300,0.153739443,vail,10,842,711.2
2004,9066300,0.086972264,vail,10,842,426.7
2005,9066300,0.104201785,vail,10,842,508
2006,9066300,0.145043391,vail,10,842,741.7
2007,9066300,0.0892741,vail,10,842,485.1
2008,9066300,0.128160229,vail,10,842,746.8
2009,9066300,0.097116807,vail,10,842,713.7
2010,9066300,0.073364989,vail,10,842,528.3
2011,9066300,0.055205655,vail,10,842,815.3
2012,9066300,0.010172859,vail,10,842,315
2013,9066300,0.061003669,vail,10,842,452.1
2014,9066300,0.126002946,vail,10,842,586.7
2015,9066300,0.065399132,vail,10,842,370.8
2016,9066300,0.058159529,vail,10,842,541
2017,9066300,0.061746726,vail,10,842,515.6
2018,9066300,0.02789919,vail,10,842,373.4
2019,9066300,0.0613908,vail,10,842,528.3
2020,9066300,0.027712114,vail,10,842,500.4
2021,9066300,0.020917073,vail,10,842,370.8
1980,9073300,0.187710118,aspen,12,542,NA
1981,9073300,0.179375487,aspen,12,542,320
1982,9073300,0.211058409,aspen,12,542,528.3
1983,9073300,0.22656066,aspen,12,542,485.1
1984,9073300,0.374027537,aspen,12,542,678.2
1985,9073300,0.261457771,aspen,12,542,452.1
1986,9073300,0.311731374,aspen,12,542,495.3
1987,9073300,0.234287152,aspen,12,542,452.1
1988,9073300,0.213661502,aspen,12,542,350.5
1989,9073300,0.226663289,aspen,12,542,421.6
1990,9073300,0.211855403,aspen,12,542,358.1
1991,9073300,0.199931252,aspen,12,542,442
1992,9073300,0.231093743,aspen,12,542,360.7
1993,9073300,0.18277721,aspen,12,542,629.9
1994,9073300,0.163253281,aspen,12,542,472.4
1995,9073300,0.275131188,aspen,12,542,703.6
1996,9073300,0.359437189,aspen,12,542,561.3
1997,9073300,0.308520746,aspen,12,542,599.4
1998,9073300,0.219801026,aspen,12,542,447
1999,9073300,0.305020213,aspen,12,542,523.2
2000,9073300,0.186830737,aspen,12,542,373.4
2001,9073300,0.179737608,aspen,12,542,383.5
2002,9073300,0.144186295,aspen,12,542,327.7
2003,9073300,0.159958237,aspen,12,542,444.5
2004,9073300,0.142260862,aspen,12,542,360.7
2005,9073300,0.168462252,aspen,12,542,414
2006,9073300,0.232338383,aspen,12,542,431.8
2007,9073300,0.208200981,aspen,12,542,414
2008,9073300,0.195147618,aspen,12,542,680.7
2009,9073300,0.146031034,aspen,12,542,556.3
2010,9073300,0.146554905,aspen,12,542,419.1
2011,9073300,0.140057015,aspen,12,542,635
2012,9073300,0.117241664,aspen,12,542,271.8
2013,9073300,0.16130574,aspen,12,542,388.6
2014,9073300,0.209474113,aspen,12,542,563.9
2015,9073300,0.193465411,aspen,12,542,388.6
2016,9073300,0.198239736,aspen,12,542,434.3
2017,9073300,0.129563253,aspen,12,542,449.6
2018,9073300,0.081245657,aspen,12,542,345.4
2019,9073300,0.163451354,aspen,12,542,538.5
2020,9073300,0.109527195,aspen,12,542,482.6
2021,9073300,0.118083498,aspen,12,542,373.4
1980,9081600,0.285515656,crystalredstone,9,618,NA
1981,9081600,0.403506066,crystalredstone,9,618,363.2
1982,9081600,0.510144977,crystalredstone,9,618,523.2
1983,9081600,0.424570308,crystalredstone,9,618,612.1
1984,9081600,0.606674537,crystalredstone,9,618,708.7
1985,9081600,0.685345697,crystalredstone,9,618,609.6
1986,9081600,0.661051938,crystalredstone,9,618,469.9
1987,9081600,0.320154631,crystalredstone,9,618,378.5
1988,9081600,0.337022649,crystalredstone,9,618,365.8
1989,9081600,0.281698316,crystalredstone,9,618,452.1
1990,9081600,0.3209384,crystalredstone,9,618,266.7
1991,9081600,0.320667374,crystalredstone,9,618,416.6
1992,9081600,0.358241342,crystalredstone,9,618,406.4
1993,9081600,0.43633167,crystalredstone,9,618,784.9
1994,9081600,0.42789322,crystalredstone,9,618,365.8
1995,9081600,0.442507828,crystalredstone,9,618,683.3
1996,9081600,0.453022509,crystalredstone,9,618,396.2
1997,9081600,0.614012578,crystalredstone,9,618,650.2
1998,9081600,0.396452161,crystalredstone,9,618,647.7
1999,9081600,0.327672484,crystalredstone,9,618,327.7
2000,9081600,0.311912387,crystalredstone,9,618,429.3
2001,9081600,0.246997978,crystalredstone,9,618,375.9
2002,9081600,0.283681598,crystalredstone,9,618,304.8
2003,9081600,0.346087534,crystalredstone,9,618,426.7
2004,9081600,0.383380634,crystalredstone,9,618,375.9
2005,9081600,0.474555864,crystalredstone,9,618,662.9
2006,9081600,0.554297627,crystalredstone,9,618,520.7
2007,9081600,0.423287791,crystalredstone,9,618,393.7
2008,9081600,0.391522002,crystalredstone,9,618,744.2
2009,9081600,0.310336946,crystalredstone,9,618,614.7
2010,9081600,0.402594575,crystalredstone,9,618,515.6
2011,9081600,0.410809077,crystalredstone,9,618,579.1
2012,9081600,0.245386402,crystalredstone,9,618,322.6
2013,9081600,0.39879534,crystalredstone,9,618,350.5
2014,9081600,0.531647182,crystalredstone,9,618,469.9
2015,9081600,0.437525808,crystalredstone,9,618,289.6
2016,9081600,0.38386896,crystalredstone,9,618,348
2017,9081600,0.307714204,crystalredstone,9,618,459.7
2018,9081600,0.2860515,crystalredstone,9,618,241.3
2019,9081600,0.328762912,crystalredstone,9,618,571.5
2020,9081600,0.247438773,crystalredstone,9,618,408.9
2021,9081600,0.361948117,crystalredstone,9,618,340.4
1980,9107000,NA,taylorriver,8,680,NA
1981,9107000,NA,taylorriver,8,680,167.6
1982,9107000,NA,taylorriver,8,680,360.7
1983,9107000,NA,taylorriver,8,680,254
1984,9107000,NA,taylorriver,8,680,348
1985,9107000,NA,taylorriver,8,680,322.6
1986,9107000,NA,taylorriver,8,680,370.8
1987,9107000,NA,taylorriver,8,680,271.8
1988,9107000,0.261617083,taylorriver,8,680,175.3
1989,9107000,0.293587142,taylorriver,8,680,289.6
1990,9107000,0.302131566,taylorriver,8,680,177.8
1991,9107000,0.281255789,taylorriver,8,680,269.2
1992,9107000,0.285048232,taylorriver,8,680,213.4
1993,9107000,0.284981385,taylorriver,8,680,436.9
1994,9107000,0.312083302,taylorriver,8,680,264.2
1995,9107000,0.392909756,taylorriver,8,680,449.6
1996,9107000,0.35918699,taylorriver,8,680,375.9
1997,9107000,0.382795827,taylorriver,8,680,396.2
1998,9107000,0.335046983,taylorriver,8,680,259.1
1999,9107000,0.322978693,taylorriver,8,680,254
2000,9107000,0.28870803,taylorriver,8,680,231.1
2001,9107000,0.261694898,taylorriver,8,680,152.4
2002,9107000,NA,taylorriver,8,680,157.5
2003,9107000,0.303569705,taylorriver,8,680,248.9
2004,9107000,0.271467525,taylorriver,8,680,231.1
2005,9107000,0.286898329,taylorriver,8,680,274.3
2006,9107000,0.408667743,taylorriver,8,680,287
2007,9107000,0.305492755,taylorriver,8,680,198.1
2008,9107000,0.287349021,taylorriver,8,680,449.6
2009,9107000,0.33602,taylorriver,8,680,335.3
2010,9107000,0.246546711,taylorriver,8,680,274.3
2011,9107000,0.328997553,taylorriver,8,680,368.3
2012,9107000,0.221586037,taylorriver,8,680,205.7
2013,9107000,0.26948804,taylorriver,8,680,233.7
2014,9107000,0.414644363,taylorriver,8,680,342.9
2015,9107000,0.292905792,taylorriver,8,680,200.7
2016,9107000,0.305054489,taylorriver,8,680,218.4
2017,9107000,0.343185361,taylorriver,8,680,444.5
2018,9107000,0.20434443,taylorriver,8,680,208.3
2019,9107000,0.32622488,taylorriver,8,680,383.5
2020,9107000,0.25846833,taylorriver,8,680,266.7
2021,9107000,0.254010525,taylorriver,8,680,218.4
1980,9112200,0.249945273,crestedbutte,7,380,NA
1981,9112200,0.257448039,crestedbutte,7,380,228.6
1982,9112200,NA,crestedbutte,7,380,510.5
1983,9112200,NA,crestedbutte,7,380,434.3
1984,9112200,NA,crestedbutte,7,380,637.5
1985,9112200,NA,crestedbutte,7,380,495.3
1986,9112200,NA,crestedbutte,7,380,612.1
1987,9112200,NA,crestedbutte,7,380,414
1988,9112200,NA,crestedbutte,7,380,292.1
1989,9112200,NA,crestedbutte,7,380,373.4
1990,9112200,NA,crestedbutte,7,380,195.6
1991,9112200,NA,crestedbutte,7,380,327.7
1992,9112200,NA,crestedbutte,7,380,297.2
1993,9112200,NA,crestedbutte,7,380,673.1
1994,9112200,0.261793714,crestedbutte,7,380,345.4
1995,9112200,0.353698598,crestedbutte,7,380,612.1
1996,9112200,0.325517101,crestedbutte,7,380,533.4
1997,9112200,0.417405436,crestedbutte,7,380,541
1998,9112200,0.301896806,crestedbutte,7,380,375.9
1999,9112200,0.308341347,crestedbutte,7,380,370.8
2000,9112200,0.263293478,crestedbutte,7,380,337.8
2001,9112200,0.256649707,crestedbutte,7,380,304.8
2002,9112200,0.216879961,crestedbutte,7,380,256.5
2003,9112200,0.271669544,crestedbutte,7,380,350.5
2004,9112200,0.265750461,crestedbutte,7,380,304.8
2005,9112200,0.328954949,crestedbutte,7,380,464.8
2006,9112200,0.468610144,crestedbutte,7,380,416.6
2007,9112200,0.280648141,crestedbutte,7,380,281.9
2008,9112200,0.31485778,crestedbutte,7,380,602
2009,9112200,0.26976421,crestedbutte,7,380,469.9
2010,9112200,0.29437653,crestedbutte,7,380,337.8
2011,9112200,0.328571365,crestedbutte,7,380,467.4
2012,9112200,0.180944344,crestedbutte,7,380,208.3
2013,9112200,0.342314841,crestedbutte,7,380,299.7
2014,9112200,0.432270401,crestedbutte,7,380,416.6
2015,9112200,0.28331667,crestedbutte,7,380,292.1
2016,9112200,0.288568908,crestedbutte,7,380,337.8
2017,9112200,0.271648315,crestedbutte,7,380,541
2018,9112200,0.199121282,crestedbutte,7,380,256.5
2019,9112200,0.257362057,crestedbutte,7,380,492.8
2020,9112200,0.196058329,crestedbutte,7,380,345.4
2021,9112200,0.245196905,crestedbutte,7,380,281.9
1980,9165000,0.193980663,dolores,5,586,NA
1981,9165000,0.310790818,dolores,5,586,297.2
1982,9165000,0.332336156,dolores,5,586,528.3
1983,9165000,0.351801153,dolores,5,586,624.8
1984,9165000,0.396676023,dolores,5,586,591.8
1985,9165000,0.439833887,dolores,5,586,548.6
1986,9165000,0.40247407,dolores,5,586,502.9
1987,9165000,0.276632417,dolores,5,586,485.1
1988,9165000,0.272124827,dolores,5,586,271.8
1989,9165000,0.130885013,dolores,5,586,378.5
1990,9165000,0.216433074,dolores,5,586,284.5
1991,9165000,0.221978975,dolores,5,586,469.9
1992,9165000,0.192867075,dolores,5,586,442
1993,9165000,0.166555325,dolores,5,586,675.6
1994,9165000,0.267929395,dolores,5,586,317.5
1995,9165000,0.186218696,dolores,5,586,574
1996,9165000,0.233766276,dolores,5,586,381
1997,9165000,NA,dolores,5,586,589.3
1998,9165000,NA,dolores,5,586,388.6
1999,9165000,0.188223048,dolores,5,586,325.1
2000,9165000,0.219373017,dolores,5,586,431.8
2001,9165000,0.206090994,dolores,5,586,368.3
2002,9165000,0.118134672,dolores,5,586,188
2003,9165000,0.184734208,dolores,5,586,337.8
2004,9165000,0.283583811,dolores,5,586,383.5
2005,9165000,0.206172762,dolores,5,586,477.5
2006,9165000,0.433940779,dolores,5,586,365.8
2007,9165000,0.262879196,dolores,5,586,292.1
2008,9165000,0.215248562,dolores,5,586,602
2009,9165000,0.126788371,dolores,5,586,482.6
2010,9165000,0.24899856,dolores,5,586,424.2
2011,9165000,0.188116765,dolores,5,586,345.4
2012,9165000,0.099451889,dolores,5,586,287
2013,9165000,0.305951343,dolores,5,586,284.5
2014,9165000,0.359084312,dolores,5,586,403.9
2015,9165000,0.290224026,dolores,5,586,340.4
2016,9165000,0.262069524,dolores,5,586,383.5
2017,9165000,0.173160554,dolores,5,586,553.7
2018,9165000,0.079011353,dolores,5,586,213.4
2019,9165000,0.154211109,dolores,5,586,594.4
2020,9165000,0.109484663,dolores,5,586,424.2
2021,9165000,0.19427211,dolores,5,586,345.4
1980,9238900,NA,steamboat,6,457,NA
1981,9238900,NA,steamboat,6,457,416.6
1982,9238900,NA,steamboat,6,457,782.3
1983,9238900,0.270374552,steamboat,6,457,746.8
1984,9238900,0.312720255,steamboat,6,457,944.9
1985,9238900,0.289753556,steamboat,6,457,642.6
1986,9238900,0.272585855,steamboat,6,457,660.4
1987,9238900,0.158667624,steamboat,6,457,360.7
1988,9238900,0.113116752,steamboat,6,457,655.3
1989,9238900,0.155313129,steamboat,6,457,561.3
1990,9238900,0.185685096,steamboat,6,457,607.1
1991,9238900,0.186836614,steamboat,6,457,563.9
1992,9238900,0.170408357,steamboat,6,457,398.8
1993,9238900,0.299067423,steamboat,6,457,762
1994,9238900,0.121138011,steamboat,6,457,431.8
1995,9238900,0.252089016,steamboat,6,457,599.4
1996,9238900,0.173670163,steamboat,6,457,751.8
1997,9238900,0.703795462,steamboat,6,457,701
1998,9238900,0.219485347,steamboat,6,457,530.9
1999,9238900,0.116463881,steamboat,6,457,464.8
2000,9238900,0.110747542,steamboat,6,457,612.1
2001,9238900,0.165226689,steamboat,6,457,487.7
2002,9238900,0.146811781,steamboat,6,457,477.5
2003,9238900,0.137147247,steamboat,6,457,569
2004,9238900,0.43267858,steamboat,6,457,482.6
2005,9238900,0.379252009,steamboat,6,457,543.6
2006,9238900,0.422887089,steamboat,6,457,627.4
2007,9238900,0.363351621,steamboat,6,457,475
2008,9238900,0.289240061,steamboat,6,457,729
2009,9238900,0.264131335,steamboat,6,457,632.5
2010,9238900,0.34576438,steamboat,6,457,492.8
2011,9238900,0.263600076,steamboat,6,457,955
2012,9238900,0.180794827,steamboat,6,457,373.4
2013,9238900,0.3395971,steamboat,6,457,495.3
2014,9238900,0.580201047,steamboat,6,457,716.3
2015,9238900,0.197719539,steamboat,6,457,416.6
2016,9238900,0.164202541,steamboat,6,457,645.2
2017,9238900,0.215886205,steamboat,6,457,569
2018,9238900,0.17981796,steamboat,6,457,508
2019,9238900,0.243110015,steamboat,6,457,652.8
2020,9238900,0.119577272,steamboat,6,457,627.4
2021,9238900,0.223304841,steamboat,6,457,436.9
